index,pts,dts,duration,bytes,sha256,vcl
0,0,0,20000000,2220,9a1e3017c3dc021b593d01de9f9e4c715c598530940d3f0eaecfb474218b8b4a,a06f8acb8a438c49fca6adbdd2ce95e7d3a620f55453e7d1cc786ea3117c9ecc
1,20000000,20000000,50000000,628,c91245bdcabdecc2b9f00935a44505842f6e421d9cf140b824282e278ff4b6ca,84a662f9ad5835946a92f0c714350dc16109b80165027def0abb146794cd5305
2,70000000,70000000,20000000,774,748f169d0d04c15ca469af31cdf3c1c4dc8b289e59cca64be1f566efac4879ab,7ea75a5b2d17bcba69e3348047052db707423e438a2c473e8abb4c18300c4c5c
3,90000000,90000000,50000000,831,1d6e0a221ad5660ce66ec72a6d4c842b21c175823dd66dfd9037a7bc905b00ba,07a73646d5414f4af3a06fa4dc001c30eb3cf545ee2813977b099697ed02e376
4,140000000,140000000,20000000,786,0f052cd79328be8acc7a9772bb2975c19b1f01c5a93b153e1bd939011e8c164e,143cf42cd2c9f2676693d50f96b60f006f5f0df6f80dfe1c509ded568454ad22
5,160000000,160000000,50000000,833,75ca9aab55efc75a32689e7d455a799ca708a044be9c06cce7888dd36a1cea7a,feda9268b0615686fc99e8554f6cc8d1255551012f44478259eba509b4ca664f
6,210000000,210000000,20000000,678,45daca8282f352dd5d51389e161b634827cd7f0e4c8c9f2f888f1aa021299708,a3bf2ecd9df359b137ac8bce41a9a9022dc066599b1a71519dda12485fadab71
7,230000000,230000000,50000000,836,b1e9ece3b8d5aeffe48744b11c7c4fba679410132566ce256045bf010ef4b8fb,24cd009f2a3d28be5950c5151353b9d1f9398233081f6cccf3eaea5134e77db2
8,280000000,280000000,20000000,800,5c7f6018bda892691c47565f750021cbdfa167c8c48a13349197b2edf1bb9ec1,a9c1187d0c772b5e9979c21997aed967acdeae27b9c2f48d6b8374d5f9bc3abe
9,300000000,300000000,50000000,822,704637d8e09b3d08d767eb380856bd79fb558680dfe96e26807379f9ea274637,06a621e99b7bfd4a0d2fedbbfdf75879e7389253c9b90a7b30e4b3bc0e4b6512
10,350000000,350000000,20000000,805,6dc69d0d1378b878eed09e9d2f974b19b58ec09381e0f12bb0464688f73ab5ec,126b17187a3a1ec2a9ce2da3f5bf53899875bee509f7a4077a5f47045cbc7f41
11,370000000,370000000,70000000,835,e3c92a753c5b757ffb7d4acdc6c3569b2311ca2ac37bbed8c57fb1bb1f71cfcf,44c570ddbc6a1795cefb61beb957ff2d2eda8864bcc981d06f40d801c6a5c8e0
