ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
1,0,0,0,0,0,20000000,0,0,33333333,a06f8acb8a438c49fca6adbdd2ce95e7d3a620f55453e7d1cc786ea3117c9ecc,e24916557285c63dc6ab45fe406b7e5867892bc3c6d1b4bc01550debf1575291,0,0,0,60,3000,0,0,60
2,20000000,20000000,0,20000000,20000000,50000000,20000000,20000000,33333333,84a662f9ad5835946a92f0c714350dc16109b80165027def0abb146794cd5305,c806dc7b95c856fcf5f93713a64b97597a6caadcace278d3df4af9b95107ffae,1,60,60,150,3000,60,60,150
3,70000000,70000000,0,70000000,70000000,20000000,70000000,70000000,33333333,7ea75a5b2d17bcba69e3348047052db707423e438a2c473e8abb4c18300c4c5c,6fe7efdc5a8243e668c0ed6805ffbfecb690c568e32a717fe5b2b83a2087877e,2,210,210,60,3000,210,210,60
4,90000000,90000000,0,90000000,90000000,50000000,90000000,90000000,33333333,07a73646d5414f4af3a06fa4dc001c30eb3cf545ee2813977b099697ed02e376,7f46b631f64275146d819b06794e9faf4d1d46d5ef2f47041c569285181d1deb,3,270,270,150,3000,270,270,150
5,140000000,140000000,0,140000000,140000000,20000000,140000000,140000000,33333333,143cf42cd2c9f2676693d50f96b60f006f5f0df6f80dfe1c509ded568454ad22,a4bf6dadefe40b6db173b42dc5ac1dd7d7cb444ee024fef0cc24e1af7f3731aa,4,420,420,60,3000,420,420,60
6,160000000,160000000,0,160000000,160000000,50000000,160000000,160000000,33333333,feda9268b0615686fc99e8554f6cc8d1255551012f44478259eba509b4ca664f,2d28e66c221afd72b472e2511b0d16effd83179cec9edee04ea2198be9d132b9,5,480,480,150,3000,480,480,150
7,210000000,210000000,0,210000000,210000000,20000000,210000000,210000000,33333333,a3bf2ecd9df359b137ac8bce41a9a9022dc066599b1a71519dda12485fadab71,5288b24b57d880a1e6afeeedbdc59b542e6aba725d698fc53f97f10b6e0c49f3,6,630,630,60,3000,630,630,60
8,230000000,230000000,0,230000000,230000000,50000000,230000000,230000000,33333333,24cd009f2a3d28be5950c5151353b9d1f9398233081f6cccf3eaea5134e77db2,a8d7f5e6f1d82fd80f3f2c2cf1395dd0f0925ae1eb4f11a9d6de2e99cce61815,7,690,690,150,3000,690,690,150
9,280000000,280000000,0,280000000,280000000,20000000,280000000,280000000,33333333,a9c1187d0c772b5e9979c21997aed967acdeae27b9c2f48d6b8374d5f9bc3abe,4954341393fefe24bdf7dbd6a0fcb359a467e5465a41b29c0ad624a4a8ea1399,8,840,840,60,3000,840,840,60
10,300000000,300000000,0,300000000,300000000,50000000,300000000,300000000,33333333,06a621e99b7bfd4a0d2fedbbfdf75879e7389253c9b90a7b30e4b3bc0e4b6512,10e50b4558387611bbdc98f0a907af47c1fb095be112aa59302445c9c651ac05,9,900,900,150,3000,900,900,150
11,350000000,350000000,0,350000000,350000000,20000000,350000000,350000000,33333333,126b17187a3a1ec2a9ce2da3f5bf53899875bee509f7a4077a5f47045cbc7f41,d43a94b9371f1f4a2a71cd1db4fc1b86acaee48881e2159fd2ab7a7d7eb836c4,10,1050,1050,60,3000,1050,1050,60
12,370000000,370000000,0,370000000,370000000,70000000,370000000,370000000,33333333,44c570ddbc6a1795cefb61beb957ff2d2eda8864bcc981d06f40d801c6a5c8e0,121f3697dfc179b4567b1c6a7ac6c03ce4a3307f906aab02fac22c378edfbeb9,11,1110,1110,100,3000,1110,1110,100
